"","FK_STATION","FK_RANDOM_SAMPLE_LOCATION","COLLECTION_DATE","SAMPLE_TYPE","MATRIX","Aluminum_Total","Aluminum_Total_VQ","Antimony_Total","Antimony_Total_VQ","Lead_Total","Lead_Total_VQ","Calcium_Total","Calcium_Total_VQ","Selenium_Total","Selenium_Total_VQ","Hardness_calculated_as_CACO3","Hardness_calculated_as_CACO3_VQ","Potassium_Total","Potassium_Total_VQ","Silver_Total","Silver_Total_VQ","Iron_Total","Iron_Total_VQ","Beryllium_Total","Beryllium_Total_VQ","pH_Field","pH_Field_VQ","Specific_Conductance_Field","Specific_Conductance_Field_VQ","Oxygen_Dissolved_Field","Oxygen_Dissolved_Field_VQ","Oxygen_Dissolved_Percent_Saturation","Oxygen_Dissolved_Percent_Saturation_VQ","Water_Temperature","Water_Temperature_VQ","Turbidity_Field","Turbidity_Field_VQ","Purge_Volume","Purge_Volume_VQ","MicroLanduse_Category","MicroLanduse_Category_VQ","Ammonia_Total_as_N","Ammonia_Total_as_N_VQ","Alkalinity_Total_as_CaCO3","Alkalinity_Total_as_CaCO3_VQ","Specific_Conductance_Lab","Specific_Conductance_Lab_VQ","Total_Dissolved_Solids_TDS_measured","Total_Dissolved_Solids_TDS_measured_VQ","Organic_Carbon_Total","Organic_Carbon_Total_VQ","Turbidity_Lab","Turbidity_Lab_VQ","Sulfate_Total","Sulfate_Total_VQ","NitrateNitrite_Total_as_N","NitrateNitrite_Total_as_N_VQ","Chloride_Total","Chloride_Total_VQ","Color_true","Color_true_VQ","Fluoride_Total","Fluoride_Total_VQ","Phosphorus_Total_as_P","Phosphorus_Total_as_P_VQ","Kjeldahl_Nitrogen_Total_as_N","Kjeldahl_Nitrogen_Total_as_N_VQ","Depth_to_Water_from_mpe","Depth_to_Water_from_mpe_VQ","Coliform_Fecal_MF","Coliform_Fecal_MF_VQ","Coliform_Total_MF","Coliform_Total_MF_VQ","Thallium_Total","Thallium_Total_VQ","Copper_Total","Copper_Total_VQ","Chromium_Total","Chromium_Total_VQ","Barium_Total","Barium_Total_VQ","Zinc_Total","Zinc_Total_VQ","Molybdenum_total","Molybdenum_total_VQ","Cadmium_Total","Cadmium_Total_VQ","Magnesium_Total","Magnesium_Total_VQ","Nickel_Total","Nickel_Total_VQ","Sodium_Total","Sodium_Total_VQ","Manganese_Total","Manganese_Total_VQ","Arsenic_Total","Arsenic_Total_VQ"
"382",0,NA,2018-02-19 14:45:00,"FIELD BLANK","WATER",3,"U",0.05,"U",0.05,"U",0.075,"U",0.2,"U",0.35,"U",0.3,"U",0.01,"U",30,"U",0.01,"U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,"U",0.65,"U",2,"U",15,"U",0.61,"I",0.1,"U",0.2,"U",0.004,"U",0.2,"U",2.5,"U",0.035,"U",0.002,"U",0.08,"U",NA,NA,1,"UQ",1,"UQ",0.1,"U",0.2,"U",0.4,"U",1,"U",5,"U",0.15,"U",0.02,"U",0.04,"U",0.2,"U",0.5,"U",1,"U",0.05,"U"
"383",0,NA,2018-03-29 08:30:00,"EQUIPMENT BLANK","WATER",3,"U",0.05,"U",0.05,"U",0.075,"U",0.2,"U",0.35,"U",0.3,"U",0.01,"U",30,"U",0.01,"U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,"U",0.65,"U",2,"U",15,"U",0.5,"U",0.1,"U",0.2,"U",0.004,"U",0.2,"U",2.5,"U",0.035,"U",0.003,"I",0.08,"U",NA,NA,NA,"Z",NA,"Z",0.1,"U",2.15,NA,0.4,"U",1,"U",5,"U",0.2,"I",0.02,"U",0.04,"U",0.51,"I",0.5,"U",1,"U",0.05,"U"
"384",0,NA,2018-02-26 10:45:00,"FIELD BLANK","WATER",3,"U",0.05,"U",0.05,"U",0.075,"U",0.2,"U",0.35,"U",0.3,"U",0.01,"U",30,"U",0.01,"U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,"U",0.65,"U",2,"U",15,"U",0.5,"U",0.1,"U",0.2,"U",0.004,"U",0.2,"U",2.5,"U",0.035,"U",0.002,"U",0.08,"U",NA,NA,1,"UQ",1,"UQ",0.1,"U",0.2,"U",0.4,"U",0.2,"U",5,"U",0.15,"U",0.02,"U",0.04,"U",0.2,"U",0.5,"U",1,"U",0.05,"U"
"385",0,NA,2018-03-26 10:50:00,"FIELD BLANK","WATER",3,"U",0.05,"U",0.05,"U",0.075,"U",0.2,"U",0.35,"U",0.3,"U",0.01,"U",30,"U",0.01,"U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,"U",0.65,"U",2,"U",15,"U",0.5,"U",0.1,"U",0.2,"U",0.004,"U",0.2,"U",2.5,"U",0.035,"U",0.002,"U",0.08,"U",NA,NA,1,"UQ",1,"UQ",0.1,"U",0.2,"U",0.4,"U",1,"U",5,"U",0.15,"U",0.02,"U",0.04,"U",0.2,"U",0.5,"U",1,"U",0.05,"U"
"386",0,NA,2018-03-13 11:57:00,"EQUIPMENT BLANK","WATER",3,"U",0.05,"U",0.05,"U",0.075,"U",0.2,"U",0.35,"U",0.3,"U",0.01,"U",30,"U",0.01,"U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,"U",0.65,"U",2,"U",15,"U",0.5,"U",0.1,"U",0.2,"U",0.004,"U",0.2,"U",2.5,"U",0.035,"U",0.002,"U",0.08,"U",NA,NA,1,"UQ",1,"UQ",0.1,"U",0.97,NA,0.4,"U",1,"U",5,"U",0.15,"U",0.02,"U",0.04,"U",0.2,"U",0.5,"U",1,"U",0.05,"U"
"387",0,NA,2018-02-19 10:25:00,"EQUIPMENT BLANK","WATER",3,"U",0.05,"U",0.05,"U",0.075,"U",0.2,"U",0.35,"U",0.3,"U",0.01,"U",30,"U",0.01,"U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,"U",0.65,"U",2,"U",15,"U",0.5,"U",0.1,"U",0.2,"U",0.004,"U",0.2,"U",2.5,"U",0.035,"U",0.002,"U",0.08,"U",NA,NA,2,"UQ",2,"UQ",0.1,"U",0.2,"U",0.4,"U",0.2,"U",5,"U",0.15,"U",0.02,"U",0.04,"U",0.2,"U",0.5,"U",1,"U",0.05,"U"
"388",0,NA,2018-02-05 14:52:00,"EQUIPMENT BLANK","WATER",3,"U",0.05,"U",0.05,"U",0.075,"U",0.2,"U",0.35,"U",0.3,"U",0.01,"U",30,"U",0.01,"U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,"U",0.65,"U",2,"U",15,"U",0.5,"U",0.1,"U",0.2,"U",0.004,"U",0.2,"U",2.5,"U",0.035,"U",0.002,"U",0.08,"U",NA,NA,1,"UQ",1,"UQ",0.1,"U",0.2,"U",0.4,"U",0.2,"U",5,"U",0.15,"U",0.02,"U",0.04,"U",0.2,"U",0.5,"U",1,"U",0.05,"U"
"389",0,NA,2018-02-13 12:00:00,"FIELD BLANK","WATER",3,"U",0.05,"U",0.05,"U",0.075,"U",0.2,"U",0.35,"U",0.3,"U",0.01,"U",30,"U",0.01,"U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,"U",0.65,"U",2,"U",15,"U",0.5,"U",0.1,"U",0.2,"U",0.004,"U",0.2,"U",2.5,"U",0.035,"U",0.002,"U",0.08,"U",NA,NA,1,"UQ",1,"UQ",0.1,"U",0.22,"I",0.4,"U",1,"U",5,"U",0.15,"U",0.02,"U",0.04,"U",0.2,"U",0.5,"U",1,"U",0.05,"U"
"390",0,NA,2018-03-20 12:15:00,"EQUIPMENT BLANK","WATER",3,"U",0.05,"U",0.05,"U",0.075,"U",0.2,"U",0.35,"U",0.3,"U",0.01,"U",30,"U",0.01,"U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,"U",0.65,"U",2,"U",15,"U",0.5,"U",0.1,"U",0.2,"U",0.004,"U",0.2,"U",2.5,"U",0.035,"U",0.002,"U",0.08,"U",NA,NA,1,"UQ",7,"Q",0.1,"U",0.2,"U",0.4,"U",0.2,"U",5,"U",0.15,"U",0.02,"U",0.04,"U",0.2,"U",0.5,"U",1,"U",0.05,"U"
"391",0,NA,2018-02-27 10:45:00,"FIELD BLANK","WATER",3,"U",0.05,"U",0.05,"U",0.075,"U",0.2,"U",0.35,"U",0.3,"U",0.01,"U",30,"U",0.01,"U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,"UY",0.65,"U",2,"U",15,"U",0.5,"UY",0.1,"U",0.2,"U",0.004,"UY",0.2,"U",2.5,"U",0.035,"U",0.002,"UY",0.08,"UY",NA,NA,1,"UQ",1,"UQ",0.1,"U",0.2,"U",0.4,"U",0.2,"U",5,"U",0.15,"U",0.02,"U",0.04,"U",0.2,"U",0.5,"U",1,"U",0.05,"U"
