"","FK_STATION","FK_RANDOM_SAMPLE_LOCATION","COLLECTION_DATE","SAMPLE_TYPE","MATRIX","Aluminum_Total","Aluminum_Total_VQ","Antimony_Total","Antimony_Total_VQ","Lead_Total","Lead_Total_VQ","Calcium_Total","Calcium_Total_VQ","Selenium_Total","Selenium_Total_VQ","Hardness_calculated_as_CACO3","Hardness_calculated_as_CACO3_VQ","Potassium_Total","Potassium_Total_VQ","Silver_Total","Silver_Total_VQ","Iron_Total","Iron_Total_VQ","Beryllium_Total","Beryllium_Total_VQ","pH_Field","pH_Field_VQ","Specific_Conductance_Field","Specific_Conductance_Field_VQ","Oxygen_Dissolved_Field","Oxygen_Dissolved_Field_VQ","Oxygen_Dissolved_Percent_Saturation","Oxygen_Dissolved_Percent_Saturation_VQ","Water_Temperature","Water_Temperature_VQ","Turbidity_Field","Turbidity_Field_VQ","Purge_Volume","Purge_Volume_VQ","MicroLanduse_Category","MicroLanduse_Category_VQ","Ammonia_Total_as_N","Ammonia_Total_as_N_VQ","Alkalinity_Total_as_CaCO3","Alkalinity_Total_as_CaCO3_VQ","Specific_Conductance_Lab","Specific_Conductance_Lab_VQ","Total_Dissolved_Solids_TDS_measured","Total_Dissolved_Solids_TDS_measured_VQ","Organic_Carbon_Total","Organic_Carbon_Total_VQ","Turbidity_Lab","Turbidity_Lab_VQ","Sulfate_Total","Sulfate_Total_VQ","NitrateNitrite_Total_as_N","NitrateNitrite_Total_as_N_VQ","Chloride_Total","Chloride_Total_VQ","Color_true","Color_true_VQ","Fluoride_Total","Fluoride_Total_VQ","Phosphorus_Total_as_P","Phosphorus_Total_as_P_VQ","Kjeldahl_Nitrogen_Total_as_N","Kjeldahl_Nitrogen_Total_as_N_VQ","Depth_to_Water_from_mpe","Depth_to_Water_from_mpe_VQ","Coliform_Fecal_MF","Coliform_Fecal_MF_VQ","Coliform_Total_MF","Coliform_Total_MF_VQ","Thallium_Total","Thallium_Total_VQ","Copper_Total","Copper_Total_VQ","Chromium_Total","Chromium_Total_VQ","Barium_Total","Barium_Total_VQ","Zinc_Total","Zinc_Total_VQ","Molybdenum_total","Molybdenum_total_VQ","Cadmium_Total","Cadmium_Total_VQ","Magnesium_Total","Magnesium_Total_VQ","Nickel_Total","Nickel_Total_VQ","Sodium_Total","Sodium_Total_VQ","Manganese_Total","Manganese_Total_VQ","Arsenic_Total","Arsenic_Total_VQ"
"106",57341,"Z2-CA-14004",2020-03-10 10:56:00,"PRIMARY","WATER",35,NA,0.05,"U",0.2,"U",66.2,NA,0.2,"U",213,NA,0.31,"I",0.01,"U",170,NA,0.01,"U",7.5,NA,389.1,NA,0.11,NA,1.3,NA,22.5,NA,0.32,NA,15000,NA,4,NA,0.015,NA,190,NA,379,NA,194,NA,0.56,"I",0.7,"G",13,NA,0.004,"U",3.9,NA,4.3,"I",0.14,NA,0.01,NA,0.08,"U",NA,"O",2,"U",2,"U",0.1,"U",0.58,"I",0.4,"U",4.6,NA,5,"U",4.3,NA,0.02,"U",11.7,NA,0.5,"U",2.7,NA,4.2,NA,0.5,NA
"107",57342,"Z2-CA-14011",2020-02-11 10:48:00,"PRIMARY","WATER",5,"U",0.05,"U",0.2,"U",29.4,NA,0.2,"U",115,NA,0.67,"I",0.01,"U",30,"U",0.01,"U",7.77,NA,218.3,NA,0.18,NA,2.1,NA,21.4,NA,0.45,NA,200,NA,1,NA,0.11,NA,107,NA,214,NA,133,NA,3.8,NA,0.35,"G",0.56,NA,0.004,"U",3.6,NA,23,"A",0.32,NA,0.058,NA,0.18,"I",NA,"O",2,"U",2,"U",0.1,"U",0.4,"U",0.4,"U",11.3,NA,5.9,"I",3.58,NA,0.02,"U",10.2,NA,0.5,"U",3,NA,16.2,NA,0.28,NA
"108",2316,"Z2-CA-14012",2020-02-05 10:52:00,"PRIMARY","WATER",22,NA,0.05,"U",0.2,"U",89.9,NA,0.2,"U",311,NA,0.33,"I",0.01,"U",130,NA,0.022,"I",6.98,NA,577,NA,0.1,NA,1.2,NA,21.2,NA,0.62,NA,185625,"J",1,NA,0.27,NA,237,NA,574,NA,396,NA,19,NA,6.2,NA,71,NA,0.004,"U",5,NA,150,NA,0.21,NA,0.32,NA,0.76,NA,NA,"O",2,"U",2,"U",0.1,"U",0.4,"U",2.1,NA,5.9,NA,5,"U",0.36,"I",0.02,"U",20.9,NA,0.5,"U",3.1,NA,22.8,NA,0.24,NA
"109",57343,"Z2-CA-14017",2020-02-13 13:21:00,"PRIMARY","WATER",5,"U",0.05,"U",0.37,"I",47.2,NA,0.2,"U",188,NA,2.1,NA,0.01,"U",980,NA,0.01,"U",7.44,NA,420.8,NA,0.11,NA,1.2,NA,20.6,NA,1.15,NA,15,NA,2,NA,0.58,NA,198,NA,416,NA,234,"A",2.7,NA,5.2,"A",0.2,"U",0.006,"I",16,NA,13,NA,0.35,NA,0.003,"I",0.71,NA,NA,"O",2,"U",2,"U",0.1,"U",0.74,"I",0.4,"U",19.6,NA,64,NA,0.2,"I",0.02,"U",16.9,NA,0.5,"U",15,NA,7.6,NA,0.13,"I"
"110",57344,"Z2-CA-14024",2020-02-12 14:15:00,"PRIMARY","WATER",5,"U",0.05,"U",0.2,"U",70.7,NA,0.81,NA,224,NA,0.41,"I",0.01,"U",30,"U",0.01,"U",7.23,NA,431.9,NA,4.22,NA,48.3,NA,22,NA,0.22,NA,15000,NA,4,NA,0.002,"U",201,NA,425,NA,223,NA,0.5,"U",0.1,"U",8.8,NA,2.4,NA,5.5,NA,2.5,"U",0.12,NA,0.015,NA,0.08,"U",NA,"O",2,"U",2,"U",0.1,"U",1.13,NA,1.4,"I",6,NA,10,"I",0.82,NA,0.022,"I",11.5,NA,0.5,"U",2.9,NA,1,"U",0.34,NA
"111",57345,"Z2-CA-14026",2020-02-12 12:21:00,"PRIMARY","WATER",5,"U",0.05,"U",0.2,"U",90.9,NA,0.56,"I",248,NA,1.5,NA,0.01,"U",30,"U",0.01,"U",7.01,NA,495.1,NA,2.39,NA,27.6,NA,22.5,NA,0.53,NA,15,NA,4,NA,0.002,"U",216,NA,488,NA,268,NA,0.5,"U",0.2,"G",18,NA,2.6,NA,9.8,NA,2.5,"U",0.097,"I",0.07,NA,0.2,"IJ",NA,"O",2,"U",9,"U",0.1,"U",3.17,NA,0.46,"I",1.9,"I",15,"I",0.21,"I",0.02,"U",5.09,NA,0.5,"U",4.7,NA,1,"U",0.17,"I"
"112",2655,"Z2-CA-14027",2020-02-11 11:36:00,"PRIMARY","WATER",5,"U",0.05,"U",0.44,NA,48.7,NA,0.2,"U",205,NA,1,"I",0.01,"U",470,NA,0.01,"U",7.51,NA,375.4,NA,7.4,NA,81.1,NA,19.7,NA,3.27,NA,30,NA,1,NA,0.002,"I",150,NA,372,NA,216,NA,0.59,"I",3.4,NA,41,NA,0.007,"I",4.7,NA,2.5,"U",0.35,NA,0.051,NA,0.08,"U",NA,"O",2,"U",2,"U",0.1,"U",0.67,"I",0.4,"U",14.2,NA,317,NA,18.3,NA,0.07,"I",20.3,NA,0.5,"U",3.8,NA,21.6,NA,2.87,NA
"113",57346,"Z2-CA-14032",2020-02-11 13:23:00,"PRIMARY","WATER",5,"U",0.05,"U",0.2,"U",37.3,NA,0.2,"U",181,NA,0.65,"I",0.01,"U",94,"I",0.01,"U",7.54,NA,330.7,NA,0.08,NA,0.9,NA,22,NA,0.61,NA,570,NA,4,NA,0.076,NA,171,"A",323,"A",181,NA,1,NA,0.25,"G",0.76,NA,0.004,"U",3.7,NA,3.1,"I",0.24,NA,0.003,"I",0.12,"I",NA,"O",2,"U",2,"U",0.1,"U",4.57,NA,0.4,"U",7.5,NA,12,"I",6.35,NA,0.02,"U",21.3,NA,0.5,"U",4.1,NA,4.5,NA,4.59,NA
"114",2155,"Z2-CA-14033",2020-03-10 12:51:00,"PRIMARY","WATER",18,"I",0.05,"U",0.21,"I",37.9,NA,0.2,"U",106,NA,0.32,"I",0.01,"U",30,"U",0.01,"U",7.57,NA,217.2,NA,2.5,NA,28.8,NA,22.1,NA,0.56,NA,90,NA,2,NA,0.29,NA,97,NA,218,NA,112,NA,1.7,NA,0.15,"G",2,NA,0.041,NA,8.1,NA,2.5,"U",0.16,NA,0.056,NA,0.34,NA,NA,"O",2,"U",2,"U",0.1,"U",6.55,NA,0.4,"U",3.6,"I",5,"U",1.88,NA,0.02,"U",2.68,NA,0.5,"U",4.2,NA,33.4,NA,3.93,NA
"115",2216,"Z2-CA-14043",2020-02-12 10:46:00,"PRIMARY","WATER",24,NA,0.05,"U",0.2,"U",75.4,NA,0.2,"U",206,NA,0.3,"U",0.01,"U",1610,NA,0.01,"U",7.07,NA,412.1,NA,0.09,NA,1,NA,22.3,NA,0.8,NA,33,NA,1,NA,0.054,NA,193,NA,400,NA,230,"A",2.9,NA,12,"A",2.6,"A",0.004,"U",11,"A",18,NA,0.15,NA,0.4,NA,0.26,NA,7.2,NA,2,"U",2,"U",0.1,"U",0.4,"U",0.4,"U",1.4,"I",5,"U",0.15,"U",0.02,"U",4.2,NA,0.5,"U",5.1,NA,37,NA,0.3,NA
"116",57347,"Z2-CA-14047",2020-03-17 13:37:00,"PRIMARY","WATER",11,"I",0.05,"U",0.2,"U",53.7,NA,0.2,"U",171,NA,0.3,"U",0.01,"U",740,NA,0.01,"U",7.34,NA,316.9,NA,0.06,NA,0.7,NA,22.2,NA,1.9,NA,642,NA,1,NA,0.029,NA,162,NA,319,NA,173,NA,1.5,NA,4,NA,2.2,NA,0.004,"U",4.2,NA,40,NA,0.063,"I",0.026,NA,0.08,"U",8.15,NA,2,"U",2,"U",0.1,"U",0.4,"U",0.4,"U",7.8,NA,5,"U",0.24,"I",0.02,"U",8.97,NA,0.5,"U",2.5,NA,14.8,NA,0.05,"U"
"117",57348,"Z2-CA-14048",2020-03-05 12:06:00,"PRIMARY","WATER",5,"U",0.05,"U",0.2,"U",394,NA,0.2,"U",1550,NA,3.4,NA,0.01,"U",30,"U",0.01,"U",7.08,NA,2317,NA,0.1,NA,1.2,NA,23.3,NA,0.54,NA,306,NA,2,NA,0.18,NA,149,NA,2290,NA,2000,NA,1.2,NA,0.1,"IG",1300,NA,0.004,"U",45,NA,2.5,"U",1.4,NA,0.01,NA,0.3,NA,6.38,NA,2,"U",2,"U",0.1,"U",0.4,"U",0.4,"U",10,NA,5,"U",0.15,"U",0.02,"U",137,NA,0.5,"U",30.6,NA,4.4,NA,0.38,NA
"118",57349,"Z2-CA-14051",2020-03-04 13:54:00,"PRIMARY","WATER",227,NA,0.05,"U",0.22,"I",29.3,NA,0.2,"U",106,NA,6.3,NA,0.01,"U",460,NA,0.01,"I",8.78,NA,242.9,NA,10.44,NA,114.5,NA,19.8,NA,12.9,NA,18000,NA,4,NA,0.1,NA,86,NA,248,NA,154,"A",7.8,NA,9.6,NA,8.4,NA,3.1,NA,10,NA,42,NA,0.14,NA,0.69,NA,1.7,NA,NA,"O",NA,"Z",NA,"Z",0.1,"U",5.22,NA,0.49,"I",10.9,NA,5,"I",0.52,"I",0.02,"U",8.03,NA,0.5,"U",5.2,NA,48.2,NA,0.79,NA
"119",57350,"Z2-CA-14053",2020-03-19 10:50:00,"PRIMARY","WATER",5,"U",0.05,"U",0.2,"U",34.2,NA,0.2,"U",88,NA,0.31,"I",0.01,"U",30,"U",0.01,"U",7.79,NA,176.5,NA,9.71,NA,112.8,NA,22.8,NA,1.11,NA,120,NA,2,NA,0.002,"U",82,NA,175,NA,94,NA,0.5,"U",0.1,"IG",0.35,"I",0.56,NA,3.9,NA,2.5,"U",0.035,"U",0.012,NA,0.08,"U",NA,"O",2,"UQ",2,"BQ",0.1,"U",0.4,"U",2.6,NA,1.5,"I",18,"I",0.15,"U",0.02,"U",0.62,NA,0.5,"U",3.1,NA,1,"U",0.52,NA
"120",57351,"Z2-CA-14058",2020-03-18 11:47:00,"PRIMARY","WATER",5,"U",0.05,"U",0.2,"U",43.4,NA,0.2,"U",196,NA,0.63,"I",0.01,"U",83,"I",0.01,"U",7.32,NA,362.4,NA,2.66,NA,31.8,NA,24,NA,1.75,NA,120,NA,2,NA,0.002,"U",174,NA,358,NA,186,"A",0.5,"U",0.6,"G",4.7,"A",0.004,"U",9.5,"A",2.5,"U",0.21,NA,0.003,"I",0.08,"U",NA,"O",2,"UQ",2,"UQ",0.14,"I",0.55,"I",0.4,"U",8.1,NA,8.3,"I",21.1,NA,0.02,"U",21.2,NA,0.5,"U",7.8,NA,9.8,NA,2.07,NA
"121",57352,"Z2-CA-14069",2020-03-18 14:12:00,"PRIMARY","WATER",5,"U",0.05,"U",0.2,"U",47.5,NA,0.2,"U",137,NA,0.87,"I",0.01,"U",120,NA,0.01,"U",7.4,NA,255,NA,0.17,NA,1.4,NA,21.7,NA,2.49,NA,240,NA,1,NA,0.005,NA,116,"A",252,"A",144,NA,0.5,"U",1.2,NA,9.7,NA,0.004,"U",4.2,NA,2.5,"U",0.15,NA,0.055,NA,0.08,"U",NA,"O",2,"UQ",2,"UQ",0.1,"U",0.73,"I",0.4,"U",6.4,NA,5,"U",33.9,NA,0.02,"U",4.37,NA,0.5,"U",3,NA,27.4,NA,0.15,"I"
"122",57353,"Z2-CA-14072",2020-03-24 11:22:00,"PRIMARY","WATER",5,"U",0.05,"U",0.2,"U",46.3,NA,0.2,"U",209,NA,1.1,"I",0.01,"U",220,NA,0.01,"U",7.27,NA,415.7,NA,0.14,NA,1.5,NA,21.7,NA,1.47,NA,200,NA,1,NA,0.15,NA,195,"J",414,NA,231,NA,1,NA,1.2,"J",6.9,NA,0.004,"U",4.9,NA,5.7,"I",0.39,NA,0.075,NA,0.14,"I",NA,"O",2,"UQ",100,"UQ",0.1,"U",0.46,"I",0.4,"U",36.4,NA,26,NA,1.8,NA,0.02,"U",22.8,NA,0.5,"U",10,NA,2.9,"I",0.05,"U"
"123",24165,"Z3-CA-12006",2018-02-27 13:25:00,"PRIMARY","WATER",5.3,"I",0.05,"U",0.05,"U",199,NA,0.2,"U",699,NA,5.3,NA,0.01,"U",30,"U",0.01,"U",7.5,NA,2110,"J",0.35,NA,4.3,NA,25.7,NA,0.14,NA,2280,NA,1,NA,0.18,NA,103,NA,2160,NA,1340,NA,0.92,"I",0.1,"U",490,NA,0.004,"U",340,NA,2.5,"U",0.23,NA,0.046,NA,0.3,NA,29.28,NA,2,"UQ",3,"BQG",0.1,"U",0.2,"U",0.4,"U",29.5,NA,5,"U",0.15,"U",0.02,"U",49.3,NA,0.2,"U",191,NA,1,"I",0.36,NA
"124",53052,"Z3-CA-12009",2018-03-15 12:43:00,"PRIMARY","WATER",10,"I",0.15,"U",0.15,"U",193,NA,0.6,"UJ",1390,NA,73.7,NA,0.03,"U",30,"U",0.03,"U",7.27,"J",11376,"J",0.27,"J",3.5,"J",26.38,NA,0.13,NA,1330,NA,1,NA,0.32,NA,134,NA,11900,NA,5570,NA,2.3,"G",0.15,"G",580,NA,0.007,"I",3700,NA,4.1,"I",0.18,"I",0.063,NA,0.5,"G",3.99,NA,2,"UQ",5,"BQG",0.33,"I",0.6,"U",1.2,"U",75.5,NA,5,"U",0.45,"U",0.06,"U",220,NA,0.6,"U",1890,NA,2.6,"I",0.5,"I"
"125",24161,"Z3-CA-12010",2018-02-06 16:02:00,"PRIMARY","WATER",5.1,"I",0.05,"U",2.75,NA,130,NA,0.2,"U",511,NA,9.3,NA,0.01,"U",35,"I",0.01,"U",7.2,NA,2691,NA,0.31,NA,3.6,NA,22.3,NA,0.29,NA,444,NA,1,NA,0.22,NA,158,NA,2840,NA,1520,NA,1.5,NA,2.9,NA,200,NA,0.004,"U",720,NA,3.9,"I",0.15,NA,0.072,NA,0.35,NA,-7.64,NA,2,"UQ",2,"UQ",0.1,"U",7.48,NA,0.4,"U",20.9,NA,5,"U",0.15,"U",0.02,"U",45.4,NA,0.2,"U",385,NA,6.4,NA,0.28,NA
"126",53053,"Z3-CA-12013",2018-02-06 13:41:00,"PRIMARY","WATER",5.1,"I",0.05,"U",0.051,"I",121,NA,0.2,"U",330,NA,1.3,NA,0.01,"U",410,NA,0.01,"U",6.8,NA,753,NA,0.28,NA,3.3,NA,23.5,NA,0.38,NA,960,NA,1,NA,0.55,NA,317,"A",766,"A",452,"A",9,NA,0.95,NA,0.2,"U",0.004,"U",56,NA,26,NA,0.15,NA,0.16,NA,0.81,NA,23.5,NA,2,"UQ",3,"BQ",0.1,"U",0.78,"I",0.4,"U",12.4,NA,5,"U",0.15,"U",0.02,"U",6.9,NA,0.29,"I",38.9,NA,15.4,NA,0.25,NA
"127",1712,"Z3-CA-12016",2018-02-12 12:58:00,"PRIMARY","WATER",5.6,"I",0.072,"I",0.065,"I",49.2,NA,0.2,"U",129,NA,1.9,NA,0.01,"U",30,"U",0.01,"U",7.3,NA,235,NA,0.43,NA,5.3,NA,25.5,NA,0.41,NA,40,NA,2,NA,0.013,NA,121,"A",235,"A",120,NA,0.83,"I",0.15,NA,1.7,NA,0.095,NA,1.5,NA,2.5,"U",0.073,"I",0.019,NA,0.12,"I",41.95,NA,2,"UQ",2,"UQ",0.22,"I",0.22,"I",0.4,"U",3.54,NA,5,"U",0.53,"I",0.02,"U",1.59,NA,1.3,NA,1,"I",4.3,NA,0.35,NA
"128",1267,"Z3-CA-12017",2018-02-13 13:17:00,"PRIMARY","WATER",3,"U",0.05,"U",0.05,"U",51.7,NA,0.2,"U",336,NA,11.8,NA,0.01,"U",30,"U",0.01,"U",7.5,NA,1514,NA,0.32,NA,3.9,NA,25.4,NA,0.22,NA,1280,NA,1,NA,0.42,NA,157,NA,1570,NA,852,NA,1.8,NA,0.2,NA,110,NA,0.004,"U",330,NA,2.5,"U",0.92,NA,0.004,"I",0.49,NA,NA,"O",2,"UQ",2,"UQ",0.1,"U",0.2,"U",0.4,"U",19.8,NA,5,"U",0.15,"U",0.02,"U",50.3,NA,0.2,"U",174,NA,1,"U",0.13,"I"
"129",53054,"Z3-CA-12018",2018-02-07 13:40:00,"PRIMARY","WATER",4.8,"I",0.05,"U",0.05,"U",61.9,NA,0.2,"U",169,NA,0.93,"I",0.01,"U",770,NA,0.01,"U",7.3,NA,340,NA,0.3,NA,3.5,NA,24,NA,0.42,NA,156,NA,2,NA,1.1,NA,163,NA,351,NA,193,NA,4.8,NA,3.2,NA,0.2,"U",0.004,"U",12,NA,18,NA,0.17,NA,0.27,NA,1.3,NA,17.85,NA,2,"UQ",2,"UQ",0.1,"U",0.2,"U",0.4,"U",10.2,NA,5,"U",0.71,NA,0.02,"U",3.56,NA,0.41,"I",7.7,NA,18.9,NA,0.16,"I"
"130",53055,"Z3-CA-12020",2018-02-05 14:39:00,"PRIMARY","WATER",7.1,"I",0.05,"U",0.05,"U",86.9,NA,0.2,"U",227,NA,0.3,"U",0.01,"U",30,"U",0.01,"U",7,NA,427,NA,6.79,NA,80.1,NA,23.6,NA,0.46,NA,22,NA,2,NA,0.002,"U",210,"A",422,"A",237,NA,0.57,"I",0.1,"I",2,NA,0.2,NA,5.7,NA,2.5,"U",0.035,"U",0.1,NA,0.11,"I",43.1,NA,2,"UQ",2,"UQ",0.1,"U",0.2,"U",1.4,"I",2.43,NA,5,"U",1.11,NA,0.02,"U",2.32,NA,0.2,"U",4.8,NA,1,"U",0.35,NA
"131",53056,"Z3-CA-12023",2018-02-20 12:23:00,"PRIMARY","WATER",3.3,"I",0.05,"U",2.92,NA,54.6,NA,0.2,"U",220,NA,1.5,NA,0.01,"U",30,"U",0.01,"U",7.3,NA,449,NA,0.32,NA,3.6,NA,20.82,NA,0.16,NA,270,NA,1,NA,0.48,NA,218,"A",468,"A",258,NA,4.3,NA,0.25,NA,6.7,NA,0.004,"U",11,NA,8.7,NA,0.5,NA,0.003,"I",0.69,NA,-7.73,NA,2,"UQ",2,"UQ",0.1,"U",3.02,NA,0.4,"U",252,NA,5,"U",0.15,"U",0.02,"U",20.2,NA,0.2,"U",16.1,NA,1,"U",0.05,"U"
"132",1639,"Z3-CA-12024",2018-02-21 13:08:00,"PRIMARY","WATER",226,NA,0.05,"U",0.24,NA,211,NA,0.2,"U",990,NA,13,NA,0.01,"U",440,NA,0.019,"I",7,NA,4471,NA,0.28,NA,3.4,NA,23.6,NA,15.9,NA,141,NA,2,NA,0.77,NA,199,NA,4620,NA,2620,NA,4.8,NA,13,NA,260,NA,0.004,"U",1200,NA,30,NA,0.35,NA,0.028,NA,0.85,NA,NA,"O",2,"UQ",2,"UQ",0.1,"U",0.54,"I",2,NA,28.3,NA,5,"U",0.37,"I",0.02,"U",112,NA,0.35,"I",602,NA,3,"I",0.56,NA
"133",53639,"Z3-CA-12025B",2018-03-15 14:27:00,"PRIMARY","WATER",3,"U",0.05,"U",0.1,"I",62.3,NA,0.2,"U",177,NA,1,"I",0.01,"U",390,NA,0.01,"U",7.4,"J",373,"J",0.39,"J",4.6,"J",23.3,NA,0.5,NA,45,NA,2,NA,0.24,NA,176,"AJ",385,"A",223,NA,1.1,NA,2.6,"A",0.2,"U",0.004,"U",18,NA,8.8,NA,0.062,"I",0.013,NA,0.28,NA,NA,"O",2,"UQ",2,"UQ",0.11,"I",0.2,"U",0.4,"U",2.6,"I",52,NA,0.15,"U",0.02,"U",5.19,NA,0.2,"U",14.1,NA,2.3,"I",0.12,"I"
"134",53057,"Z3-CA-12027",2018-02-21 10:24:00,"PRIMARY","WATER",4.4,"I",0.05,"U",0.68,NA,20.5,NA,0.2,"U",112,NA,2.2,NA,0.01,"U",30,"U",0.01,"U",7.8,NA,222,NA,0.3,NA,3.6,NA,23.6,NA,0.24,NA,1350,NA,2,NA,0.034,NA,83,NA,228,NA,156,"A",0.76,"I",0.3,NA,22,NA,0.004,"U",5.8,NA,2.5,"U",0.42,NA,0.003,"I",0.086,"I",-2.12,NA,2,"UQ",2,"UQ",0.1,"U",4.37,"J",0.4,"U",16,NA,12,"I",0.69,NA,0.02,"U",14.7,NA,0.2,"U",5.8,NA,2.2,"I",0.05,"U"
"135",5189,"Z3-CA-12029",2018-02-27 09:51:00,"PRIMARY","WATER",3.2,"I",0.05,"U",0.05,"U",8.15,NA,0.2,"U",23.7,NA,1.3,NA,0.01,"U",30,"U",0.01,"U",8.4,NA,61,"J",8.69,NA,103.4,NA,24.2,NA,0.7,NA,60,NA,1,NA,0.002,"U",23,NA,62,NA,47,NA,0.5,"U",0.25,NA,0.73,NA,0.65,NA,3.2,NA,2.5,"U",0.05,"I",0.024,NA,0.08,"U",NA,"O",2,"UQ",100,"UQ",0.1,"U",0.2,"U",1.1,"I",25,NA,5.9,"I",0.17,"I",0.02,"U",0.81,NA,0.2,"U",2.6,NA,1,"U",0.14,"I"
"136",46579,"Z3-CA-12031",2018-02-26 14:44:00,"PRIMARY","WATER",6070,NA,0.073,"I",2.64,NA,1.3,NA,1.09,NA,4,NA,0.3,"U",0.01,"I",460,NA,0.097,NA,4.7,NA,69,NA,0.34,NA,3.9,NA,22.7,NA,4.74,NA,66,NA,1,NA,0.032,NA,13,NA,72,NA,135,NA,40,NA,5,NA,0.55,NA,0.01,NA,6,NA,1400,NA,0.035,"U",0.2,NA,0.82,NA,14.83,NA,2,"UQ",2,"UQ",0.1,"U",2.07,NA,6.4,NA,10.3,NA,5,"U",0.32,"I",0.077,"I",0.18,NA,1.66,NA,14.4,NA,5.1,NA,0.58,NA
"137",53058,"Z3-CA-12033",2018-03-14 12:58:00,"PRIMARY","WATER",3,"U",0.05,"U",0.05,"U",26.7,NA,0.2,"U",168,NA,13.3,NA,0.01,"U",30,"U",0.01,"U",7.6,NA,791,NA,0.31,NA,3.7,NA,24.3,NA,0.13,NA,440,NA,2,NA,0.041,NA,189,NA,798,"A",444,"A",2,NA,0.15,NA,33,NA,0.004,"U",110,NA,2.5,"U",1.5,NA,0.005,"I",0.47,NA,NA,"O",2,"UQ",2,"UQ",0.1,"U",0.2,"U",0.4,"U",14,NA,5,"U",0.15,"U",0.02,"U",24.7,NA,0.2,"U",99,NA,1,"U",0.05,"U"
"138",53059,"Z3-CA-12034",2018-03-13 15:24:00,"PRIMARY","WATER",8.1,"I",0.05,"U",0.05,"U",44,NA,0.2,"U",136,NA,0.94,"I",0.01,"U",41,"I",0.01,"U",7.8,NA,264,NA,0.33,NA,3.8,NA,22.9,NA,0.46,NA,84,NA,2,NA,0.09,NA,129,"A",266,"A",158,NA,0.68,"I",0.5,NA,0.46,"I",0.004,"U",6.9,NA,2.5,"U",0.17,NA,0.013,NA,0.15,"I",10.1,NA,2,"UQ",2,"UQ",0.1,"U",0.23,"I",0.4,"U",19.5,NA,5,"U",1.93,NA,0.02,"U",6.33,NA,0.2,"U",6.2,NA,16,NA,0.062,"I"
"139",53060,"Z3-CA-12035",2018-03-19 15:59:00,"PRIMARY","WATER",3,"U",0.05,"U",0.05,"U",55.7,NA,0.2,"U",273,NA,1.9,NA,0.01,"U",30,"U",0.01,"U",7.4,NA,559,NA,0.34,NA,4,NA,23.6,NA,0.38,NA,45,NA,2,NA,0.2,NA,149,NA,579,NA,361,"A",2.3,NA,0.2,NA,120,NA,0.004,"U",22,NA,2.5,"U",0.64,NA,0.006,NA,0.27,NA,NA,"O",2,"UQ",2,"UQ",0.1,"U",0.28,"IG",0.4,"U",25.8,NA,5,"U",0.15,"U",0.02,"U",32.6,NA,0.2,"U",17.3,NA,1,"U",0.05,"U"
"140",34224,"Z3-CA-12036",2018-03-20 12:06:00,"PRIMARY","WATER",3,"U",0.05,"U",0.05,"U",110,NA,0.2,"U",512,NA,7.8,NA,0.01,"U",30,"U",0.01,"U",7.2,NA,1982,NA,0.29,NA,3.4,NA,23.6,NA,0.23,NA,560,NA,2,NA,0.19,NA,143,NA,2040,NA,1160,NA,1.7,NA,0.1,"I",250,NA,0.004,"U",400,NA,2.5,"U",0.91,NA,0.004,"I",0.26,NA,7.27,NA,2,"UQ",100,"UQ",0.1,"U",0.2,"U",0.4,"U",17.9,NA,5,"U",0.15,"U",0.02,"U",58,NA,0.2,"U",228,NA,1,"U",0.05,"U"
"141",1342,"Z3-CA-12037",2018-03-14 16:28:00,"PRIMARY","WATER",3,"U",0.05,"U",0.05,"U",146,NA,0.2,"U",663,NA,8.1,NA,0.01,"U",30,"U",0.01,"U",7.4,NA,3342,NA,0.3,"J",3.5,"J",24.5,NA,0.41,NA,410,NA,2,NA,0.54,NA,119,NA,3420,NA,1810,NA,3.1,NA,0.25,NA,180,NA,0.004,"U",910,NA,7.6,NA,0.37,NA,0.008,NA,0.62,"J",2.7,NA,2,"UQ",2,"BQG",0.1,"U",0.2,"U",0.4,"U",166,NA,6,"I",0.15,"U",0.02,"U",72.2,NA,0.2,"U",454,NA,2,"I",0.072,"I"
"142",53061,"Z3-CA-12038",2018-03-15 16:47:00,"PRIMARY","WATER",14,NA,0.05,"U",0.05,"U",118,NA,0.2,"U",301,NA,0.83,"I",0.01,"U",170,NA,0.022,"I",6.8,"J",547,"J",0.38,"J",4.3,"J",22.9,NA,0.88,NA,72,NA,1,NA,0.26,NA,290,NA,568,NA,301,NA,7.7,NA,0.45,NA,0.2,"U",0.02,NA,11,NA,21,NA,0.079,"I",0.25,NA,0.42,NA,8.82,NA,2,"UQ",2,"UQ",0.1,"U",0.2,"U",1.4,"I",26.7,NA,5,"U",0.25,"I",0.02,"U",1.39,NA,0.55,"IG",8.4,NA,17.3,NA,0.19,"I"
